,dates
11518,Sep 15th 2021
11519,Sep 6th 2023
11520,06/29/2022
11521,29/12/2020
11522,09/06/2021
11523,19/01/2020
11524,Sep 2nd 2021
11525,Feb 16th 2022
11526,December 5 2024
11527,Mar 22nd 2020
11528,December 20 2024
11529,Nov 28th 2024
11530,22/11/2020
11531,05/01/2021
11532,01/21/2023
11533,November 24 2020
11534,January 28 2020
11535,Sep 6th 2024
11536,June 29 2022
11537,22/09/2023
11538,08/02/2020
11539,Nov 27th 2023
11540,October 28 2020
11541,03/18/2020
11542,06/24/2024
11543,April 28 2024
11544,January 10 2021
11545,December 14 2020
11546,07/24/2021
11547,Dec 21st 2020
11548,Jun 11th 2024
11549,06/18/2023
11550,22/12/2020
11551,Oct 22nd 2022
11552,May 4th 2023
11553,Apr 10th 2020
11554,Apr 16th 2023
11555,October 23 2021
11556,September 17 2023
11557,01/08/2023
11558,11/30/2022
11559,January 31 2023
11560,07/13/2023
11561,31/12/2024
11562,December 23 2021
11563,19/02/2022
11564,22/01/2022
11565,09/29/2024
11566,05/14/2020
11567,August 9 2022
11568,03/08/2024
11569,June 12 2022
11570,August 16 2024
11571,15/07/2024
11572,June 28 2021
11573,09/05/2020
11574,11/03/2021
11575,Oct 6th 2021
11576,11/30/2020
11577,February 25 2023
11578,July 12 2024
11579,Aug 22nd 2022
11580,01/06/2020
11581,02/07/2023
11582,Jan 18th 2021
11583,09/06/2020
11584,August 1 2024
11585,10/24/2020
11586,01/06/2022
11587,September 25 2020
11588,November 12 2020
11589,Apr 12th 2022
11590,08/01/2021
11591,01/07/2024
11592,May 29th 2020
11593,October 11 2023
11594,10/18/2021
11595,17/10/2024
11596,10/29/2023
11597,02/07/2024
11598,26/08/2020
11599,07/31/2023
11600,Jun 1st 2023
11601,11/04/2020
11602,10/02/2024
11603,05/05/2020
11604,03/17/2021
11605,13/06/2023
11606,10/13/2022
11607,Aug 31st 2022
11608,Jan 5th 2024
11609,September 22 2021
11610,May 19 2023
11611,07/03/2024
11612,July 26 2024
11613,18/06/2022
11614,17/01/2021
11615,Nov 12th 2021
11616,January 15 2024
11617,02/20/2021
11618,Dec 24th 2020
11619,12/08/2024
11620,December 4 2020
11621,Aug 31st 2022
11622,03/31/2024
11623,11/01/2023
11624,Jun 30th 2023
11625,10/14/2021
11626,01/10/2022
11627,February 9 2022
11628,02/21/2024
11629,11/15/2023
11630,23/12/2021
11631,May 23rd 2020
11632,01/04/2023
11633,06/05/2021
11634,07/23/2020
11635,March 14 2022
11636,17/07/2021
11637,Apr 1st 2023
11638,Jul 19th 2023
11639,10/07/2024
11640,01/11/2023
11641,08/09/2024
11642,October 17 2021
11643,07/25/2021
11644,10/28/2023
11645,04/22/2021
11646,03/18/2022
11647,20/12/2020
11648,Apr 23rd 2022
11649,12/15/2020
11650,01/09/2023
11651,June 23 2023
11652,November 13 2020
11653,April 27 2024
11654,07/08/2020
11655,08/15/2020
11656,29/09/2022
11657,February 8 2021
11658,February 17 2020
11659,24/02/2024
11660,30/06/2024
11661,Aug 12th 2024
11662,Jun 22nd 2022
11663,22/09/2022
11664,05/09/2021
11665,18/03/2020
11666,Feb 20th 2023
11667,10/06/2021
11668,17/12/2020
11669,May 17 2024
11670,February 3 2020
11671,May 5 2020
11672,Nov 30th 2020
11673,March 5 2021
11674,May 17th 2022
11675,04/08/2024
11676,11/01/2022
11677,May 6th 2021
11678,May 14 2020
11679,15/03/2023
11680,05/03/2024
11681,January 31 2023
11682,August 8 2024
11683,12/12/2024
11684,May 8 2021
11685,25/06/2020
11686,08/23/2023
11687,08/20/2021
11688,May 28th 2023
11689,Oct 18th 2020
11690,12/09/2023
11691,Jun 22nd 2021
11692,Sep 20th 2020
11693,08/12/2020
11694,October 25 2024
11695,Sep 7th 2021
11696,28/05/2023
11697,Jun 3rd 2022
11698,10/27/2022
11699,31/10/2021
11700,01/19/2022
11701,Jul 22nd 2020
11702,09/03/2024
11703,July 29 2021
11704,Dec 12th 2022
11705,02/20/2024
11706,May 4th 2021
11707,April 9 2020
11708,07/05/2022
11709,30/05/2021
11710,12/28/2022
11711,September 15 2022
11712,Aug 4th 2024
11713,07/09/2020
11714,November 1 2024
11715,03/24/2023
11716,06/01/2023
11717,July 27 2020
11718,06/01/2020
11719,March 1 2023
11720,06/03/2020
11721,October 12 2021
11722,Mar 14th 2021
11723,Mar 6th 2021
11724,01/06/2021
11725,October 9 2022
11726,28/11/2022
11727,10/08/2020
11728,02/05/2020
11729,June 12 2020
11730,May 9th 2020
11731,October 20 2023
11732,Nov 21st 2021
11733,August 19 2024
11734,08/07/2023
11735,Mar 25th 2024
11736,Jan 4th 2023
11737,11/27/2020
11738,30/05/2022
11739,Jun 14th 2023
11740,August 2 2020
11741,Aug 22nd 2022
11742,26/12/2022
11743,December 24 2024
11744,January 29 2020
11745,May 5 2022
11746,19/12/2021
11747,Oct 24th 2021
11748,22/10/2024
11749,April 28 2023
11750,12/26/2023
11751,October 19 2022
11752,02/17/2023
11753,11/16/2022
11754,September 14 2024
11755,Jul 29th 2020
11756,07/05/2024
11757,10/02/2023
11758,06/15/2024
11759,14/09/2020
11760,08/05/2023
11761,19/11/2023
11762,16/03/2020
11763,04/11/2021
11764,Aug 18th 2020
11765,22/09/2023
11766,12/14/2020
11767,02/06/2023
11768,July 6 2021
11769,February 14 2020
11770,Jan 15th 2021
11771,Sep 3rd 2020
11772,Jul 18th 2024
11773,June 21 2022
11774,January 24 2024
11775,14/08/2020
11776,January 23 2023
11777,December 9 2024
11778,08/02/2020
11779,06/09/2023
11780,Jul 31st 2021
11781,Mar 1st 2021
11782,Jan 21st 2022
11783,Sep 10th 2023
11784,18/01/2024
11785,12/14/2022
11786,12/10/2020
11787,August 9 2024
11788,June 6 2021
11789,May 2nd 2023
11790,May 19 2022
11791,October 31 2020
11792,16/05/2024
11793,Mar 24th 2021
11794,05/04/2022
11795,November 7 2022
11796,06/04/2020
11797,31/08/2020
11798,June 30 2022
11799,Nov 6th 2024
11800,November 30 2023
11801,08/04/2023
11802,13/02/2020
11803,01/12/2022
11804,October 8 2021
11805,22/05/2020
11806,Apr 29th 2024
11807,06/14/2024
11808,23/12/2023
11809,August 14 2021
11810,17/09/2022
11811,February 17 2021
11812,Jan 4th 2024
11813,01/07/2024
11814,06/07/2024
11815,02/11/2020
11816,June 28 2021
11817,September 4 2020
11818,21/03/2023
11819,Jan 7th 2024
11820,01/09/2020
11821,16/08/2023
11822,04/29/2024
11823,December 31 2020
11824,08/16/2024
11825,February 16 2023
11826,31/03/2023
11827,Feb 17th 2021
11828,Sep 19th 2022
11829,06/27/2020
11830,09/11/2020
11831,Jun 22nd 2021
11832,02/08/2023
11833,October 16 2022
11834,Aug 23rd 2023
11835,15/06/2022
11836,02/06/2024
11837,12/08/2024
11838,April 26 2020
11839,29/08/2021
11840,18/08/2020
11841,25/08/2020
11842,April 14 2021
11843,Jul 28th 2021
11844,11/18/2024
11845,Apr 13th 2021
11846,20/11/2024
11847,09/08/2022
11848,03/22/2020
11849,03/05/2021
11850,10/25/2021
11851,02/19/2022
11852,17/03/2022
11853,Mar 8th 2023
11854,21/05/2022
11855,Apr 17th 2022
11856,May 27 2020
11857,20/06/2021
11858,October 25 2024
11859,10/30/2022
11860,August 29 2020
11861,17/03/2024
11862,May 1st 2023
11863,08/08/2023
11864,Apr 10th 2022
11865,21/03/2020
11866,December 7 2023
11867,Aug 22nd 2023
11868,November 6 2020
11869,Feb 2nd 2020
11870,08/21/2020
11871,Mar 31st 2022
11872,April 16 2020
11873,August 16 2024
11874,January 30 2024
11875,30/12/2020
11876,04/10/2023
11877,11/05/2024
11878,11/15/2023
11879,January 12 2024
11880,11/09/2021
11881,10/03/2022
11882,04/03/2021
11883,11/12/2021
11884,11/14/2024
11885,26/08/2021
11886,December 20 2022
11887,Apr 21st 2021
11888,March 2 2023
11889,June 16 2022
11890,01/17/2023
11891,September 28 2022
11892,02/10/2022
11893,January 4 2024
11894,Oct 5th 2021
11895,Jun 5th 2022
11896,Jul 18th 2021
11897,12/20/2022
11898,31/01/2020
11899,May 24th 2023
11900,15/07/2020
11901,12/07/2020
11902,11/06/2020
11903,07/20/2023
11904,24/12/2023
11905,Mar 19th 2023
11906,02/11/2021
11907,January 7 2020
11908,05/04/2022
11909,27/02/2020
11910,January 30 2024
11911,09/21/2021
11912,May 29 2022
11913,June 18 2021
11914,15/11/2023
11915,December 31 2020
11916,15/09/2023
11917,12/23/2021
11918,Nov 2nd 2020
11919,July 7 2022
11920,10/05/2022
11921,09/21/2024
11922,December 7 2024
11923,December 8 2022
11924,Sep 23rd 2023
11925,15/08/2023
11926,24/04/2023
11927,02/02/2022
11928,October 1 2023
11929,12/09/2021
11930,07/16/2021
11931,October 4 2024
11932,15/04/2023
11933,January 31 2022
11934,03/03/2024
11935,June 30 2021
11936,25/12/2023
11937,07/08/2022
11938,Oct 9th 2020
11939,09/29/2023
11940,April 5 2023
11941,March 24 2023
11942,05/26/2020
11943,January 23 2024
11944,May 14 2023
11945,12/01/2023
11946,09/29/2024
11947,November 12 2024
11948,February 16 2024
11949,September 10 2021
11950,17/04/2023
11951,14/08/2022
11952,10/24/2020
11953,04/18/2022
11954,May 22 2023
11955,October 8 2021
11956,30/11/2024
11957,Apr 4th 2020
11958,October 23 2023
11959,20/03/2023
11960,Dec 15th 2022
11961,17/01/2023
11962,April 27 2021
11963,Jan 10th 2024
11964,21/10/2023
11965,Aug 13th 2022
11966,October 29 2020
11967,12/03/2021
11968,06/04/2020
11969,Aug 11th 2024
11970,28/05/2022
11971,04/26/2022
11972,Jul 20th 2021
11973,24/07/2024
11974,December 27 2020
11975,08/15/2021
11976,07/13/2022
11977,14/03/2020
11978,08/11/2021
11979,Mar 1st 2023
11980,12/16/2021
11981,October 6 2021
11982,27/03/2023
11983,September 29 2023
11984,03/14/2022
11985,January 10 2022
11986,November 23 2024
11987,02/12/2021
11988,04/08/2024
11989,05/15/2020
11990,April 11 2022
11991,October 12 2024
11992,May 23rd 2022
11993,08/16/2020
11994,04/06/2024
11995,Feb 8th 2023
11996,23/03/2023
11997,11/07/2024
11998,September 1 2024
11999,12/03/2022
12000,12/15/2020
12001,03/10/2024
12002,April 25 2022
12003,October 18 2022
12004,January 9 2021
12005,06/08/2020
12006,Sep 10th 2022
12007,Aug 31st 2024
12008,03/01/2023
12009,20/12/2022
12010,08/18/2021
12011,January 17 2023
12012,Aug 19th 2022
12013,Dec 3rd 2024
12014,Dec 12th 2020
12015,28/03/2022
12016,08/06/2023
12017,Oct 31st 2020
12018,Apr 6th 2022
12019,23/08/2021
12020,31/01/2022
12021,June 10 2022
12022,Apr 4th 2022
12023,September 4 2023
12024,Aug 3rd 2024
12025,January 20 2024
12026,September 26 2024
12027,Jan 28th 2024
12028,May 10th 2021
12029,05/11/2022
12030,July 31 2024
12031,10/26/2023
12032,10/04/2023
12033,July 17 2024
12034,01/06/2021
12035,16/01/2020
12036,July 22 2020
12037,August 19 2020
12038,December 28 2023
12039,15/10/2021
12040,April 27 2023
12041,May 28th 2020
12042,May 19 2021
12043,09/12/2024
12044,11/09/2020
12045,20/08/2023
12046,09/11/2024
12047,Sep 23rd 2022
12048,06/05/2020
12049,10/24/2023
12050,May 27th 2024
12051,19/02/2023
12052,May 22nd 2022
12053,05/08/2023
12054,December 18 2020
12055,11/15/2023
12056,25/02/2021
12057,11/21/2022
12058,March 30 2024
12059,12/04/2024
12060,24/11/2024
12061,Jul 4th 2021
12062,December 16 2020
12063,02/07/2023
12064,July 31 2020
12065,19/11/2023
12066,08/12/2024
12067,June 5 2024
12068,12/28/2024
12069,Jun 30th 2021
12070,Jul 25th 2020
12071,05/01/2020
12072,09/15/2022
12073,06/05/2022
12074,November 20 2022
12075,October 15 2022
12076,Aug 3rd 2020
12077,13/11/2023
12078,January 6 2022
12079,03/24/2020
12080,Feb 2nd 2024
12081,11/12/2022
12082,August 10 2021
12083,28/07/2023
12084,May 29th 2022
12085,Jun 23rd 2023
12086,November 25 2021
12087,Aug 22nd 2022
12088,December 15 2023
12089,22/05/2021
12090,13/09/2022
12091,January 14 2021
12092,04/13/2022
12093,August 27 2022
12094,Dec 18th 2020
12095,05/22/2022
12096,Feb 28th 2022
12097,Feb 20th 2022
12098,Nov 1st 2024
12099,10/02/2020
12100,Mar 17th 2024
12101,12/04/2024
12102,06/02/2024
12103,05/31/2023
12104,November 18 2024
12105,October 27 2023
12106,September 25 2021
12107,07/18/2021
12108,June 17 2021
12109,07/07/2022
12110,10/21/2024
12111,July 12 2020
12112,Aug 28th 2020
12113,May 19th 2022
12114,01/16/2020
12115,November 14 2022
12116,01/06/2022
12117,08/27/2024
12118,January 19 2023
12119,June 11 2022
12120,April 20 2022
12121,July 16 2021
12122,September 29 2021
12123,06/09/2022
12124,08/03/2022
12125,May 31st 2023
12126,Mar 12th 2023
12127,18/04/2021
12128,08/11/2020
12129,13/02/2021
12130,10/16/2022
12131,November 8 2024
12132,June 29 2024
12133,04/08/2023
12134,08/30/2021
12135,04/03/2021
12136,01/02/2022
12137,27/07/2024
12138,February 21 2021
12139,09/03/2020
12140,Jun 20th 2023
12141,December 23 2024
12142,June 8 2020
12143,Oct 3rd 2022
12144,March 17 2022
12145,07/30/2023
12146,12/19/2024
12147,12/03/2021
12148,06/24/2024
12149,Mar 5th 2021
12150,19/03/2022
12151,Jul 13th 2024
12152,October 11 2021
12153,April 1 2020
12154,12/08/2024
12155,May 15th 2023
12156,05/03/2024
12157,April 24 2020
12158,August 31 2024
12159,March 23 2023
12160,11/15/2022
12161,18/05/2020
12162,08/12/2023
12163,11/24/2020
12164,07/20/2022
12165,16/07/2024
12166,11/19/2020
12167,May 8th 2022
12168,Sep 6th 2024
12169,Sep 30th 2021
12170,Jun 29th 2021
12171,02/08/2020
12172,March 11 2022
12173,31/07/2022
12174,27/11/2024
12175,Sep 18th 2021
12176,October 4 2021
12177,06/21/2024
12178,Mar 22nd 2023
12179,12/01/2020
12180,08/13/2024
12181,11/04/2024
12182,21/02/2021
12183,April 28 2021
12184,May 18 2023
12185,February 13 2024
12186,Oct 5th 2022
12187,27/01/2024
12188,07/03/2022
12189,09/30/2022
12190,Apr 20th 2023
12191,Jul 23rd 2023
12192,Mar 19th 2024
12193,04/05/2024
12194,18/10/2022
12195,11/11/2020
12196,08/13/2024
12197,05/02/2021
12198,December 19 2024
12199,25/08/2024
12200,12/17/2021
12201,28/11/2023
12202,Nov 9th 2020
12203,04/12/2022
12204,Dec 15th 2020
12205,Mar 19th 2020
12206,July 29 2020
12207,10/09/2021
12208,Jun 22nd 2022
12209,05/28/2024
12210,Dec 29th 2024
12211,May 24th 2024
12212,13/09/2022
12213,26/09/2024
12214,May 28th 2020
12215,09/08/2021
12216,25/01/2022
12217,February 18 2023
12218,January 11 2023
12219,Apr 22nd 2024
12220,09/05/2023
12221,May 5 2021
12222,15/05/2020
12223,07/24/2024
12224,08/16/2020
12225,Apr 3rd 2024
12226,December 15 2021
12227,06/02/2023
12228,October 20 2022
12229,Nov 27th 2020
12230,11/30/2023
12231,11/19/2020
12232,10/07/2022
12233,14/10/2020
12234,14/07/2022
12235,Nov 16th 2021
12236,06/11/2020
12237,April 2 2024
12238,23/11/2024
12239,03/05/2022
12240,06/16/2023
12241,March 27 2023
12242,03/23/2021
12243,Aug 27th 2024
12244,02/09/2021
12245,03/03/2023
12246,21/09/2021
12247,12/25/2022
12248,05/09/2022
12249,June 10 2020
12250,02/03/2022
12251,13/05/2021
12252,May 12th 2021
12253,November 30 2020
12254,08/16/2020
12255,21/01/2020
12256,August 10 2020
12257,21/03/2024
12258,May 18 2022
12259,12/12/2024
12260,06/07/2021
12261,Jan 12th 2023
12262,November 14 2021
12263,Dec 24th 2023
12264,09/07/2024
12265,October 22 2024
12266,07/07/2022
12267,January 26 2024
12268,Sep 21st 2021
12269,Feb 10th 2023
12270,Apr 19th 2023
12271,March 24 2021
12272,December 15 2022
12273,March 7 2024
12274,17/02/2022
12275,February 1 2024
12276,01/01/2024
12277,09/12/2024
12278,November 7 2020
12279,03/16/2021
12280,08/10/2023
12281,06/03/2020
12282,November 24 2020
12283,10/12/2024
12284,Nov 18th 2024
12285,Sep 11th 2021
12286,Jan 14th 2024
12287,April 9 2023
12288,Sep 18th 2022
12289,Mar 5th 2024
12290,August 17 2022
12291,Jul 28th 2024
12292,06/09/2024
12293,January 2 2020
12294,April 8 2022
12295,Jun 13th 2023
12296,May 16th 2021
12297,26/10/2020
12298,Jan 22nd 2023
12299,09/14/2020
12300,Jan 22nd 2024
12301,Jan 23rd 2020
12302,Jun 29th 2023
12303,June 8 2020
12304,August 11 2020
12305,Nov 10th 2024
12306,09/07/2021
12307,Mar 26th 2021
12308,Aug 24th 2022
12309,07/01/2020
12310,27/07/2024
12311,11/10/2020
12312,Oct 14th 2020
12313,Jul 18th 2023
12314,06/05/2024
12315,04/12/2024
12316,Jun 20th 2024
12317,05/01/2024
12318,11/03/2020
12319,30/05/2022
12320,29/01/2021
12321,01/30/2021
12322,04/05/2022
12323,29/11/2023
12324,11/02/2022
12325,09/08/2024
12326,January 15 2021
12327,27/08/2020
12328,02/24/2023
12329,December 24 2023
12330,09/18/2024
12331,12/19/2023
12332,09/09/2023
12333,06/14/2021
12334,October 22 2020
12335,Dec 21st 2022
12336,04/06/2023
12337,11/12/2020
12338,May 27th 2021
12339,30/01/2020
12340,06/08/2022
12341,Nov 5th 2022
12342,August 27 2020
12343,12/22/2020
12344,Mar 29th 2022
12345,Jun 15th 2024
12346,11/03/2020
12347,06/05/2020
12348,17/09/2021
12349,28/07/2023
12350,01/14/2024
12351,January 17 2021
12352,August 20 2021
12353,11/09/2024
12354,11/29/2020
12355,15/04/2023
12356,May 4 2023
12357,Jul 1st 2024
12358,Jan 11th 2024
12359,April 28 2022
12360,June 18 2020
12361,March 21 2024
12362,01/27/2024
12363,Aug 28th 2024
12364,03/27/2020
12365,09/21/2022
12366,October 11 2022
12367,Jul 19th 2020
12368,Feb 6th 2020
12369,March 21 2020
12370,Sep 13th 2020
12371,Apr 24th 2022
12372,21/11/2020
12373,Oct 26th 2022
12374,07/08/2021
12375,September 25 2023
12376,07/15/2023
12377,Dec 16th 2022
12378,22/11/2024
12379,January 18 2023
12380,10/07/2023
12381,September 24 2022
12382,April 16 2023
12383,March 11 2021
12384,May 6 2020
12385,20/07/2023
12386,01/11/2022
12387,02/25/2023
12388,30/10/2023
12389,05/31/2024
12390,October 6 2021
12391,10/12/2022
12392,05/12/2024
12393,August 23 2020
12394,Dec 14th 2023
12395,Dec 11th 2021
12396,03/05/2022
12397,26/07/2024
12398,Sep 27th 2021
12399,20/02/2020
12400,12/12/2022
12401,Jan 28th 2021
12402,21/12/2024
12403,10/05/2021
12404,09/04/2024
12405,23/02/2020
12406,02/12/2023
12407,Oct 2nd 2024
12408,December 8 2020
12409,Apr 22nd 2020
12410,31/08/2024
12411,November 3 2023
12412,December 28 2024
12413,August 22 2022
12414,Jul 10th 2023
12415,13/08/2020
12416,24/05/2020
12417,05/21/2023
12418,Mar 13th 2020
12419,07/21/2021
12420,October 24 2021
12421,November 8 2023
12422,Oct 5th 2023
12423,Jul 14th 2020
12424,02/06/2021
12425,05/03/2024
12426,09/09/2020
12427,03/24/2023
12428,12/06/2020
12429,Oct 30th 2020
12430,11/23/2023
12431,03/26/2021
12432,10/31/2024
12433,May 5th 2022
12434,Jan 15th 2024
12435,09/27/2021
12436,May 26th 2024
12437,May 18th 2024
12438,04/27/2024
12439,January 14 2024
12440,Apr 27th 2024
12441,Jan 4th 2023
12442,October 18 2024
12443,24/12/2024
12444,February 14 2020
12445,03/15/2024
12446,02/09/2021
12447,May 23rd 2023
12448,01/17/2022
12449,04/03/2023
12450,Mar 7th 2022
12451,01/01/2021
12452,04/07/2021
12453,Apr 3rd 2022
12454,07/17/2020
12455,29/11/2024
12456,Dec 15th 2022
12457,January 31 2020
12458,09/05/2023
12459,Nov 13th 2020
12460,July 28 2020
12461,August 14 2024
12462,04/09/2022
12463,Feb 29th 2024
12464,Oct 29th 2023
12465,09/26/2021
12466,17/07/2020
12467,23/09/2020
12468,Feb 20th 2024
12469,31/07/2024
12470,August 18 2022
12471,03/03/2020
12472,Jul 24th 2021
12473,09/07/2020
12474,August 13 2023
12475,08/06/2023
12476,July 6 2021
12477,Apr 1st 2021
12478,29/06/2021
12479,Dec 9th 2023
12480,07/11/2021
12481,10/07/2024
12482,08/02/2021
12483,06/09/2022
12484,October 16 2021
12485,Sep 6th 2022
12486,19/03/2021
12487,January 30 2023
12488,07/08/2023
12489,29/09/2023
12490,18/04/2022
12491,26/05/2023
12492,10/04/2024
12493,February 27 2021
12494,23/05/2024
12495,Sep 27th 2023
12496,30/08/2020
12497,09/09/2021
12498,02/12/2022
12499,08/26/2023
12500,11/03/2023
12501,Oct 17th 2020
12502,02/21/2022
12503,03/23/2023
12504,10/01/2022
12505,August 24 2023
12506,22/07/2024
12507,28/11/2022
12508,07/25/2023
12509,January 4 2022
12510,Oct 4th 2022
12511,November 26 2022
12512,Jun 1st 2021
12513,March 26 2020
12514,May 18th 2024
12515,13/02/2021
12516,11/24/2023
12517,Oct 6th 2020
12518,July 13 2020
12519,January 4 2024
12520,September 11 2022
12521,08/15/2022
12522,Feb 6th 2021
12523,November 13 2023
12524,05/23/2021
12525,Jan 11th 2023
12526,15/04/2021
12527,12/24/2020
12528,February 15 2023
12529,23/12/2022
12530,Apr 19th 2024
12531,01/09/2023
12532,Apr 17th 2024
12533,18/06/2021
12534,14/10/2022
12535,Dec 28th 2023
12536,January 13 2021
12537,11/01/2020
12538,10/26/2023
12539,Jun 19th 2021
12540,August 2 2024
12541,08/31/2023
12542,February 23 2021
12543,10/27/2022
12544,01/04/2022
12545,03/08/2024
12546,01/07/2020
12547,03/03/2024
12548,Jul 24th 2024
12549,23/10/2023
12550,24/03/2020
12551,May 7th 2024
12552,04/06/2021
12553,10/26/2022
12554,April 27 2023
12555,November 2 2021
12556,22/02/2023
12557,Nov 26th 2023
12558,Mar 28th 2024
12559,Apr 27th 2023
12560,22/05/2023
12561,04/05/2020
12562,12/06/2024
12563,Nov 19th 2021
12564,12/01/2023
12565,16/01/2024
12566,14/04/2024
12567,May 22 2023
12568,03/29/2024
12569,06/23/2024
12570,13/03/2020
12571,July 2 2022
12572,October 27 2022
12573,27/01/2024
12574,August 14 2020
12575,09/12/2021
12576,October 6 2020
12577,Jul 28th 2021
12578,June 26 2022
12579,Jan 29th 2021
12580,26/10/2022
12581,22/05/2021
12582,Feb 16th 2024
12583,November 27 2023
12584,November 22 2020
12585,Sep 9th 2022
12586,October 16 2023
12587,March 13 2024
12588,Nov 28th 2024
12589,22/09/2024
12590,Sep 9th 2024
12591,Jul 12th 2021
12592,31/05/2024
12593,28/07/2024
12594,Jan 27th 2022
12595,July 25 2020
12596,Jan 22nd 2020
12597,05/04/2022
12598,January 3 2021
12599,November 3 2020
12600,August 2 2020
12601,08/15/2022
12602,April 5 2023
12603,January 24 2023
12604,25/10/2023
12605,10/03/2024
12606,April 12 2023
12607,Oct 27th 2020
12608,20/03/2024
12609,September 15 2020
12610,12/17/2020
12611,05/23/2020
12612,Apr 15th 2024
12613,19/07/2024
12614,12/02/2024
12615,Mar 21st 2023
12616,Jul 16th 2020
12617,Jan 10th 2022
12618,Jun 8th 2023
12619,Jun 2nd 2020
12620,November 28 2020
12621,Sep 4th 2021
12622,June 9 2024
12623,Sep 4th 2022
12624,Apr 12th 2024
12625,11/04/2024
12626,March 25 2020
12627,Apr 2nd 2021
12628,October 19 2024
12629,August 24 2024
12630,Nov 1st 2024
12631,Mar 23rd 2024
12632,May 21st 2020
12633,09/16/2023
12634,Feb 6th 2024
12635,09/09/2023
12636,Aug 31st 2022
12637,12/27/2024
12638,06/21/2021
12639,Sep 11th 2021
12640,05/12/2023
12641,December 31 2021
12642,Dec 29th 2020
12643,Jul 16th 2023
12644,10/25/2021
12645,April 25 2020
12646,Jun 14th 2022
12647,September 15 2021
12648,March 7 2022
12649,07/12/2024
12650,16/02/2024
12651,August 21 2020
12652,04/06/2024
12653,January 8 2021
12654,Jun 10th 2021
12655,20/11/2024
12656,May 11 2020
12657,Jun 16th 2022
12658,22/10/2023
12659,10/09/2021
12660,12/04/2023
12661,02/22/2021
12662,Aug 6th 2023
12663,February 3 2023
12664,07/24/2022
12665,01/11/2022
12666,January 5 2022
12667,Feb 25th 2020
12668,24/03/2024
12669,Jan 11th 2020
12670,05/05/2023
12671,Nov 5th 2022
12672,05/08/2021
12673,August 8 2021
12674,December 3 2023
12675,January 12 2020
12676,12/25/2022
12677,08/27/2024
12678,04/18/2024
12679,28/10/2023
12680,13/07/2022
12681,Jan 9th 2020
12682,04/30/2024
12683,November 11 2022
12684,Sep 25th 2024
12685,01/07/2022
12686,18/04/2020
12687,07/16/2021
12688,03/16/2021
12689,06/12/2024
12690,June 30 2023
12691,March 14 2022
12692,May 8th 2022
12693,Dec 4th 2021
12694,Oct 27th 2023
12695,10/28/2023
12696,02/27/2020
12697,May 20 2021
12698,03/03/2022
12699,September 11 2024
12700,03/04/2024
12701,12/03/2024
12702,04/10/2020
12703,04/07/2021
12704,August 2 2022
12705,Nov 23rd 2020
12706,01/29/2020
12707,December 9 2020
12708,12/26/2020
12709,April 6 2021
12710,November 15 2021
12711,Nov 16th 2021
12712,Dec 7th 2023
12713,03/20/2021
12714,February 26 2023
12715,19/10/2023
12716,February 19 2021
12717,21/01/2023
12718,08/14/2022
12719,May 12 2022
12720,June 6 2024
12721,Feb 1st 2024
12722,Sep 6th 2024
12723,November 8 2022
12724,02/06/2024
12725,05/02/2024
12726,December 7 2021
12727,06/28/2024
12728,03/05/2023
12729,28/07/2023
12730,October 2 2021
12731,31/10/2023
12732,January 25 2020
12733,Dec 16th 2020
12734,10/04/2021
12735,Aug 28th 2020
12736,14/04/2021
12737,December 25 2022
12738,09/06/2020
12739,Nov 8th 2021
12740,Mar 14th 2023
12741,02/12/2024
12742,November 9 2023
12743,May 19th 2023
12744,05/16/2020
12745,19/05/2024
12746,September 8 2022
12747,May 3rd 2024
12748,Aug 1st 2023
12749,11/03/2022
12750,25/12/2021
12751,09/05/2021
12752,17/02/2022
12753,10/12/2022
12754,April 16 2023
12755,04/26/2024
12756,June 10 2021
12757,May 13th 2024
12758,November 18 2022
12759,05/09/2023
12760,06/02/2022
12761,02/24/2022
12762,Nov 15th 2020
12763,19/07/2020
12764,May 20 2022
12765,Apr 14th 2024
12766,March 14 2023
12767,Jan 7th 2021
12768,Nov 21st 2024
12769,01/20/2021
12770,Jul 3rd 2022
12771,Nov 17th 2023
12772,Dec 15th 2024
12773,Aug 4th 2020
12774,Sep 30th 2023
12775,02/09/2022
12776,December 2 2023
12777,Oct 2nd 2022
12778,23/09/2023
12779,09/03/2023
12780,August 30 2024
12781,August 27 2024
12782,Dec 5th 2020
12783,September 28 2021
12784,01/01/2023
12785,October 7 2023
12786,April 13 2020
12787,03/05/2023
12788,09/06/2021
12789,01/04/2021
12790,06/11/2022
12791,01/11/2022
12792,December 23 2021
12793,February 16 2024
12794,Mar 28th 2021
12795,01/08/2023
12796,09/08/2020
12797,Jun 27th 2022
12798,June 24 2021
12799,Nov 8th 2022
12800,Jun 25th 2024
12801,Nov 16th 2022
12802,April 15 2023
12803,Jun 16th 2020
12804,17/09/2022
12805,Dec 17th 2022
12806,Jan 16th 2021
12807,Feb 5th 2023
12808,04/04/2021
12809,Nov 23rd 2024
12810,20/01/2023
12811,05/03/2022
12812,08/02/2022
12813,Feb 20th 2021
12814,14/03/2020
12815,02/01/2020
12816,Oct 16th 2021
12817,27/10/2022
12818,Jul 16th 2022
12819,03/05/2024
12820,Dec 24th 2020
12821,05/03/2023
12822,01/06/2022
